code,population,child_proportion,older_person_proportion,median_age,population_density,born_outside_uk_proportion,road_traffic_incidents,employment_rate,median_house_price,median_household_income,apartment_proportion,household_ownership_rate,social_renting_proportion,private_rental_proportion,higher_level_qualification_proportion,crime_rate,open_space_proportion,cars_per_household,pt_access_score,bike_to_work_trips
E05000109,18600,20.8,13.5,36,4797.3,19.9,3,78.6,327000,43460,45.1,65.3,10,22.7,41,139,17.6,1,3.8,150.1
E05000110,14800,19.1,20.3,43,1166.7,9.7,4,77.3,400000,44850,8,87,4.6,7.1,33.2,40.3,68.4,1.5,2.1,69.6
E05000111,15400,18.7,21.4,43,1461.5,12.7,2,75.1,395000,46250,23,79.9,7.1,11.4,38,55.2,59.1,1.4,2.1,80.8
E05000112,16050,21.6,12.4,37,6869.6,17.3,3,77.7,308750,41650,41.9,67.6,12.6,17.8,38.3,46,16.2,1,4,174.5
E05000113,15950,15.8,16.6,38,4772.7,20.3,4,79.5,315000,43170,70.3,61.1,9.2,27.7,45,70.5,16.7,1,3.3,145.7
E05000114,15850,22.7,17.1,38,1176.7,12.3,4,69.3,242000,32230,22.1,61.7,24.7,11.1,19.6,102.2,76.2,1,2.1,72.9
E05000115,17150,23.6,15.2,37,4371.8,10.9,1,67.4,250000,31740,17.6,58,33.5,6.1,18.7,71.5,23.4,1.1,2.3,76.4
E05000116,12950,20.7,8.2,34,5478.3,30.3,3,69.5,250000,34060,82.2,34.8,33.2,29.7,38.1,90,49.2,0.6,4.6,198.9
E05000117,5300,18.4,24.2,46,181,6.1,1,75,445000,42810,6.3,82.9,5.5,9.4,26.9,43.9,88.5,1.7,1.3,20.6
E05000118,14850,17.3,24.2,45,2121.4,10,6,75.1,395000,44590,13,83.2,8.8,6.7,31,43,48.9,1.3,2.5,70.5
E05000119,16250,18.5,19.5,43,1500,8.7,1,76.3,441250,45660,13.6,88.2,3.1,7.8,31.8,35,68.9,1.4,2.3,120.5
E05000120,16250,18.6,18.4,42,3105.8,13.6,1,75.5,421599,44700,22.4,79.2,8.6,10.6,33.8,59.9,42.7,1.3,2.7,134.5
E05000121,10300,23.1,14.4,36,4250,15.1,2,67.9,250000,32330,23.9,55.4,31.9,10.5,22.1,93,44,1,2.5,47.4
E05000122,15650,18.5,22,43,3616.3,11.9,0,72.8,340000,38090,19,74.5,15.8,8,27.1,89.6,24.6,1.2,2.9,66.5
E05000123,17900,21.9,10.5,36,5883.3,25.8,3,70.4,320000,36090,52.4,47.9,29.8,20.3,36.5,89.9,24.9,0.8,4.2,211.9
E05000124,13950,18.3,22.7,45,3220.9,10.6,0,75.4,485000,48530,9,89.4,2.7,6.9,36,43,24.3,1.4,2.8,56.3
E05000125,15600,20.9,15.3,38,3850,16.9,2,73.5,295444,39460,33.9,65.2,17.4,15.8,34.1,48.6,40.3,1,2.9,138.4
E05000126,10150,17.7,21.6,44,4020,16,1,76.3,468000,48020,36,79.2,6.2,13.5,43.3,33.8,3,1.3,2.7,64.8
E05000127,15250,17.1,21,45,3443.2,9.7,1,76.8,475000,46210,15.8,86.7,4.4,7.4,32.5,33.9,31.8,1.4,2.2,83
E05000128,12800,18,13,35,15937.5,46.3,1,74.4,850000,52680,87.3,41.4,19.6,37.1,62.2,60.9,1.3,0.6,4.2,326.8
E05000129,11700,6.5,9.6,28,11650,51.2,13,51.4,560000,40340,96.3,26.4,28.6,41.6,46.5,314.1,9.2,0.2,8,232
E05000130,13100,14.6,12.5,35,10791.7,38.8,3,69.4,813500,45840,79.7,33.9,30.5,33.4,53.9,297,15.2,0.5,5.4,551.5
E05000131,12450,14.8,9.5,31,15375,35.9,2,64.3,560000,39060,82.5,30.1,40.3,27.7,48.1,82.5,7.4,0.4,4.9,636.1
E05000132,12100,15.2,10.6,33,12000,43.4,1,74.6,575000,46800,77.9,39.5,16.7,41.8,57.8,54.2,18.4,0.6,4.8,323.3
E05000133,12250,16.3,14.3,35,8133.3,48.5,1,69.8,955000,60310,80.3,49.2,7.1,40.9,61.4,56.7,5.7,0.8,4.8,204.9
E05000134,11500,18.4,12.6,35,16357.1,34.9,0,65.5,599999,39990,81.6,30.5,45.9,21.4,45.6,65.8,15.9,0.5,4.1,437.7
E05000135,11400,17.3,16.5,39,4540,40.9,0,76.6,1190000,62840,71.2,50.6,13.4,33.3,68.3,82.9,53.9,0.7,4,247.3
E05000136,12750,18.7,11.4,32,18000,36.3,1,62.9,547305,35730,86.7,26.7,49.2,22,43.1,87.6,8.2,0.4,4.7,405.1
E05000137,11150,16.4,16.3,40,3484.4,27.1,2,70.4,650000,47840,69.1,46.7,34.1,16.8,55.8,81,65.2,0.7,3.9,604.1
E05000138,13700,12.7,10.3,33,11250,45.6,20,61.9,685000,40180,95.9,22.4,42.5,32.2,46.2,311,7.5,0.3,7.9,325.8
E05000139,13850,15.4,9.6,33,13750,34.2,2,71.3,630100,41230,76.9,34.7,33.3,29.7,54.6,89,5.3,0.4,5.7,770.1
E05000140,12350,17.7,11.6,33,17500,47.9,2,66.8,468000,34730,92.2,22.6,42.1,32.8,43.8,110.7,13.4,0.4,5.5,252.8
E05000141,12550,12.8,7.5,27,20833.3,50.9,3,46.1,625000,32890,94.8,17.6,46.1,33.2,39.7,122.4,13.5,0.2,7.8,299.4
E05000142,14700,14.8,9.2,29,10961.5,45.2,8,54.4,600000,34260,89.4,20.4,48,29.2,36.1,131.3,27,0.4,6.8,339.4
